class,train-count,test-count,500-before-accuracy,500-after-accuracy,500-before-anti-count,500-after-anti-count,500-before-fmeasure,500-after-fmeasure,500-before-gmean,500-after-gmean,600-before-accuracy,600-after-accuracy,600-before-anti-count,600-after-anti-count,600-before-fmeasure,600-after-fmeasure,600-before-gmean,600-after-gmean
summary,5000,5000,0.9569086896862455,0.9510027545670516,430,460,0.8730587139867708,0.9039613789096607,0.9844880288470776,0.9910960820590172,0.9507019537970016,0.9565048486524126,537,569,0.894552548780448,0.9085131164947462,0.9825065386657634,0.9925829797664287
smurf.,2637,2637,1.0,1.0,20,20,0.9971644954752721,1.0,0.9968177335958692,1.0,0.9998103905953735,0.9998103905953735,25,25,0.9982044982044982,0.9981103552532123,0.9980039976428555,0.9978981631931123
normal.,983,983,0.8302137351231091,0.7580111902339777,20,20,0.8869700642088703,0.8623271889400921,0.9063970631902785,0.8706262244403563,0.8057904084890289,0.7849586259087413,25,25,0.868968253968254,0.8789615449441843,0.8922525228770635,0.8858364354892863
neptune.,934,934,0.9951820128479657,0.9962526766595289,20,20,0.9973175957944967,0.9978552278820375,0.9975268247377711,0.9980633067372485,0.9962526766595289,0.9962526766595289,25,25,0.9981227490823734,0.9981227490823734,0.9981245437043287,0.9981245437043287
snmpgetattack.,125,125,0.6799999999999999,1.0,20,26,0.5970156616105562,0.5733975117704306,0.818058176221395,0.9807373225513683,0.616,0.996,25,31,0.5290484462458984,0.6711811206696118,0.774939576153748,0.9854798874790068
mailbomb.,74,74,1.0,1.0,20,22,0.9579388353581901,0.9833995584988962,0.9993399321338423,0.999746292718591,1.0,1.0,25,26,0.9432874599115008,0.9769934640522875,0.9990853166179454,0.9996444190759856
guess_passwd.,65,65,0.9615384615384616,0.9615384615384616,20,25,0.8866197183098592,0.8976722628489031,0.9792310518388372,0.9793783235657341,0.9615384615384616,0.9923076923076923,25,29,0.8509247670699487,0.8811678015110531,0.9785647169544969,0.994420730668079
snmpguess.,34,34,1.0,1.0,20,20,0.8505154639175259,0.9657534246575343,0.9985402898332818,0.9997486300177962,1.0,1.0,25,25,0.6604729729729729,0.6718977041557687,0.9964202116916812,0.9965718882579997
satan.,33,33,0.9558823529411764,0.9705882352941176,20,22,0.9142857142857144,0.9354037267080746,0.9769901370024152,0.9847249050723582,0.9705882352941176,0.9705882352941176,25,28,0.9285568483363951,0.9420289855072463,0.9846728154485906,0.9847736829174715
mscan.,21,21,1.0,1.0,20,24,0.9661616161616161,0.9555335968379446,0.9998492635899103,0.9997991156528674,1.0,1.0,25,29,0.9449275362318841,0.9449275362318841,0.9997488113099477,0.9997488113099477
warezmaster.,21,21,1.0,1.0,20,22,0.5964947622884771,0.625,0.9971334272556995,0.9974351183104397,1.0,1.0,25,27,0.6641957005189029,0.7172789896670493,0.9977868862356685,0.998239567987043
back.,18,18,1.0,1.0,20,20,1.0,0.9871794871794872,1.0,0.9999498872461783,1.0,1.0,25,25,1.0,1.0,1.0,1.0
apache2.,16,16,1.0,1.0,20,20,0.9300476947535771,0.9179566563467492,0.9997492145112775,0.9996991067765093,1.0,1.0,25,25,0.9293650793650794,0.9293650793650794,0.9997490634402222,0.9997490634402222
saint.,12,12,1.0,1.0,20,20,0.9193548387096774,0.9482758620689655,0.9997496870931984,0.9998498272980094,1.0,1.0,25,25,0.9333333333333333,0.9333333333333333,0.9997997597036234,0.9997997597036234
processtable.,7,7,1.0,1.0,20,21,0.9372549019607843,1.0,0.9998998445330758,1.0,1.0,1.0,25,26,0.9705882352941176,0.9705882352941176,0.99994999749975,0.99994999749975
ipsweep.,4,4,1.0,1.0,20,20,0.8636363636363636,0.8636363636363636,0.99984961651873,0.99984961651873,1.0,1.0,25,25,0.8333333333333333,1.0,0.9997500874537733,1.0
portsweep.,3,3,1.0,1.0,20,21,0.8285714285714285,0.8285714285714285,0.9998499571962146,0.9998499571962146,1.0,1.0,25,26,0.8285714285714285,0.8285714285714285,0.9998499571962146,0.9998499571962146
httptunnel.,3,3,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,27,1.0,1.0,1.0,1.0
pod.,1,1,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
sendmail.,1,1,1.0,1.0,20,21,0.45,0.9,0.9996000793675901,0.9999500574338264,1.0,1.0,25,26,0.8333333333333333,0.8333333333333333,0.9999001098781362,0.9999001098781362
ps.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
phf.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
nmap.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
land.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,13,0.5,0.5,0.5,0.5
xterm.,0,0,0.5,0.5,10,10,0.16666666666666669,0.16666666666666669,0.4998002397043723,0.4998002397043723,0.5,0.5,12,13,0.5,0.3333333333333333,0.5,0.4999500674088733
