class,train-count,test-count,500-composite-accuracy,500-composite-anti-count,500-composite-fmeasure,500-composite-gmean,500-metacost-accuracy,500-metacost-anti-count,500-metacost-fmeasure,500-metacost-gmean,500-boundary-accuracy,500-boundary-anti-count,500-boundary-fmeasure,500-boundary-gmean
summary,15000,15000,0.9651010306586385,549,0.8682535152316528,0.9513280432893052,0.9627064645285492,514,0.8418285148225253,0.932295214999828,0.9650965506471697,549,0.8150277746198749,0.9236182362643803
smurf.,7911,7911,0.9998103905953735,264,0.9999051773184147,0.9999051863080506,1.0,264,1.0,1.0,1.0,264,0.9999052132701421,0.9998938316157476
normal.,2950,2950,0.8464687285479162,90,0.9153353633197077,0.9196896187791153,0.8627423310092714,90,0.9187290981665016,0.9270695569782368,0.9247564283882921,99,0.9249880788975282,0.9528007821090154
neptune.,2802,2802,0.9983940042826552,94,0.9989287627209427,0.9991350990712131,1.0,94,0.9952053970221917,0.9988923937108563,0.9983940042826552,94,0.9989287624136182,0.9991350660626297
snmpgetattack.,375,375,1.0,29,0.6684491978609626,0.987200098064716,0.948,22,0.659875968992248,0.9619332669488367,0.452,20,0.4870689655172414,0.6688117966163325
mailbomb.,222,222,1.0,10,0.9866666666666666,0.9997969743887238,0.9864864864864865,8,0.9734560490863011,0.9928934089830216,1.0,10,0.986842105263158,0.9997972835919111
guess_passwd.,195,195,0.9538461538461538,13,0.8967775467775467,0.9754396903531424,0.8384615384615385,7,0.8493640218049667,0.9137053484942275,0.8846153846153846,13,0.9094611528822054,0.9399286703070138
snmpguess.,102,102,1.0,4,0.9927536231884058,0.9999495738993222,1.0,4,0.9855072463768115,0.9998993100137967,1.0,4,0.9788732394366197,0.9998491931801017
satan.,100,100,0.7179144385026739,5,0.7472365512159174,0.8446510144013293,0.643048128342246,4,0.6807061790668347,0.7995291512370568,0.6550802139037433,5,0.7165948275862069,0.8060752232111635
mscan.,64,64,1.0,7,0.9772727272727273,0.9998994064973221,0.7424242424242424,3,0.8390243902439025,0.8604699513642041,0.9761904761904762,7,0.9226305609284332,0.9876523314430975
warezmaster.,63,63,1.0,8,0.7801857585139318,0.9987936778894395,0.7619047619047619,3,0.7246376811594203,0.8705456787495918,0.9523809523809523,8,0.7463768115942029,0.9742514354270552
back.,55,55,0.9736842105263157,2,0.9864864864864865,0.9866642633922875,0.9736842105263157,2,0.9864864864864865,0.9866642633922875,0.9736842105263157,2,0.9864864864864865,0.9866642633922875
apache2.,49,49,1.0,2,0.9705627705627706,0.9998996636464483,1.0,2,0.9563025210084033,0.9998494149145944,1.0,2,0.9428571428571428,0.9997991611313474
saint.,37,37,0.625,2,0.5098039215686274,0.7492987196068148,0.5160256410256411,2,0.43529411764705883,0.7142107975360303,0.6346153846153846,2,0.5266457680250785,0.7912860788400322
processtable.,22,22,0.7410714285714286,2,0.8461538461538461,0.8581947574073232,0.6785714285714286,1,0.7948717948717948,0.8164634404795494,0.7410714285714286,2,0.8461538461538461,0.8581947574073232
ipsweep.,13,13,0.875,1,0.8,0.93288246597713,0.875,1,0.8,0.93288246597713,0.625,1,0.6428571428571429,0.749949874686213
portsweep.,10,10,0.7083333333333333,2,0.6607142857142858,0.841135885651348,0.7083333333333333,1,0.6607142857142858,0.841135885651348,0.875,2,0.7083333333333333,0.9328190797398104
httptunnel.,10,10,0.8333333333333333,1,0.8444444444444446,0.9081983279356344,0.875,1,0.8035714285714285,0.9329124713609928,0.6666666666666666,1,0.75,0.7886751345948129
sendmail.,4,4,1.0,2,0.8333333333333333,0.9999499073284321,1.0,1,1.0,1.0,1.0,2,0.7333333333333334,0.9998999647622585
pod.,3,3,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.6428571428571428,0.9997494864314913
ps.,1,1,0.5,1,0.5,0.5,0.5,0,0.3333333333333333,0.4999500674088733,0.5,1,0.5,0.5
phf.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
nmap.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
land.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
xterm.,1,1,0.5,1,0.3333333333333333,0.4999500674088733,0.5,0,0.2,0.49985018726255476,0.5,1,0.25,0.4999001298302232
