class,train-count,test-count,500-before-accuracy,500-after-accuracy,500-before-anti-count,500-after-anti-count,500-before-fmeasure,500-after-fmeasure,500-before-gmean,500-after-gmean,600-before-accuracy,600-after-accuracy,600-before-anti-count,600-after-anti-count,600-before-fmeasure,600-after-fmeasure,600-before-gmean,600-after-gmean
summary,5000,5000,0.9467982638035554,0.9472968250798722,430,430,0.8810668429213921,0.8980752620763699,0.9821248199780112,0.9901379442001712,0.9587006942737774,0.9545003635209306,537,537,0.9012435762020072,0.8954550159399624,0.9831700786366222,0.9919027405670029
smurf.,2637,2637,0.9998103905953735,0.9998103905953735,20,20,0.9986757466393905,0.9969749248575082,0.9985325725896941,0.9966192336560105,0.9998103905953735,0.9998103905953735,25,25,0.9982044970463058,0.9970691388049941,0.9980036370570458,0.9967271459330758
normal.,983,983,0.7773222009941361,0.741734486266531,20,20,0.8568024459361685,0.8499601198779498,0.877634271419472,0.8608523508494955,0.844435691305031,0.7747841351760415,25,25,0.8932474141531228,0.8726029912204206,0.913705329194048,0.8801088462881927
neptune.,934,934,0.9962526766595289,0.9962526766595289,20,20,0.9981227490823734,0.9981227490823734,0.9981245437043287,0.9981245437043287,0.9962526766595289,0.9967880085653105,25,25,0.9981227490823734,0.9981238990945637,0.9981245437043287,0.9983312011233718
snmpgetattack.,125,125,0.712,0.976,20,20,0.5292981778604782,0.6099980063795853,0.8329494263979293,0.9721760353781359,0.64,1.0,25,25,0.5777108827956285,0.6669153168513782,0.7936498677759094,0.9870456083527392
mailbomb.,74,74,0.9932432432432432,1.0,20,20,0.9703293830602997,0.9451291437868619,0.9962059158095252,0.9990844080885589,1.0,1.0,25,25,0.9616877637130801,0.9801754385964911,0.9993913770383172,0.999695276020808
guess_passwd.,65,65,0.9461538461538461,0.976923076923077,20,20,0.8690103778737772,0.8729918729918731,0.9708068748896856,0.9866815226297829,0.9692307692307693,0.976923076923077,25,25,0.8935613682092556,0.9246713316369806,0.9831666415736953,0.9874167391099973
snmpguess.,34,34,1.0,1.0,20,20,0.6810897435897436,0.7563732563732564,0.9967734465941815,0.9975314692227428,1.0,1.0,25,25,0.8158113730929265,0.6478540967244352,0.9981315170011811,0.9962673456580449
satan.,33,33,0.909982174688057,0.9701426024955437,20,20,0.8965367965367965,0.9285568483363953,0.9534055257866874,0.9845614255745299,0.9260249554367201,0.9701426024955437,25,25,0.9115293099718798,0.9420289855072463,0.9616939091328267,0.9846604888642184
mscan.,21,21,1.0,1.0,20,20,0.9888888888888889,0.9583333333333333,0.9999498570925882,0.9997993981865096,1.0,1.0,25,25,0.9564571994062345,0.9772609819121447,0.999799261966036,0.999899562871267
warezmaster.,21,21,1.0,1.0,20,20,0.5770750988142292,0.628046078865751,0.9968826242716914,0.9974367905478727,1.0,1.0,25,25,0.6157962328767124,0.6497401983939537,0.9973344328696352,0.9976357895347105
back.,18,18,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
apache2.,16,16,1.0,1.0,20,20,0.9428104575163399,0.9428104575163399,0.9997993172234692,0.9997993172234692,1.0,1.0,25,25,0.9428104575163399,0.9705882352941176,0.9997993172234692,0.9998995075861623
saint.,12,12,1.0,1.0,20,20,0.8768472906403941,0.9442857142857144,0.999648983747026,0.9998496865542768,1.0,1.0,25,25,0.8808933002481389,0.9430199430199431,0.9996492754042654,0.9998495357557586
processtable.,7,7,1.0,1.0,20,20,0.9210526315789473,0.9210526315789473,0.9998499774932474,0.9998499774932474,1.0,1.0,25,25,0.9372549019607843,0.9444444444444444,0.9998998445330758,0.9998999899979994
ipsweep.,4,4,1.0,1.0,20,20,0.8333333333333333,0.8333333333333333,0.9997994786364113,0.9997994786364113,1.0,1.0,25,25,0.8636363636363636,0.8636363636363636,0.99984961651873,0.99984961651873
portsweep.,3,3,1.0,1.0,20,20,0.8333333333333333,0.9285714285714286,0.9998496466662743,0.9999498872461783,1.0,1.0,25,25,0.8285714285714285,0.7922077922077921,0.9998499571962146,0.9997999846794756
httptunnel.,3,3,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
pod.,1,1,1.0,1.0,20,20,1.0,1.0,1.0,1.0,1.0,1.0,25,25,1.0,1.0,1.0,1.0
sendmail.,1,1,1.0,1.0,20,20,0.7333333333333334,0.7333333333333334,0.9998999647622585,0.9998999647622585,1.0,1.0,25,25,0.8333333333333333,0.8333333333333333,0.9999001098781362,0.9999001098781362
ps.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,12,0.5,0.5,0.5,0.5
phf.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,12,0.5,0.5,0.5,0.5
nmap.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,12,0.5,0.5,0.5,0.5
land.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,12,0.5,0.5,0.5,0.5
xterm.,0,0,0.5,0.5,10,10,0.5,0.5,0.5,0.5,0.5,0.5,12,12,0.5,0.25,0.5,0.4999001298302232
