class,train-count,test-count,200-composite-accuracy,200-composite-anti-count,200-composite-fmeasure,200-composite-gmean,200-metacost-accuracy,200-metacost-anti-count,200-metacost-fmeasure,200-metacost-gmean,200-boundary-accuracy,200-boundary-anti-count,200-boundary-fmeasure,200-boundary-gmean
summary,1500,1500,0.9780178017801779,229,0.9757440786808309,0.9953702854220341,0.975027502750275,208,0.9302469451806696,0.9705337420224935,0.973007300730073,228,0.9588605525613844,0.9731551573811003
smurf.,778,778,1.0,104,0.9961685400295465,0.9958689000170391,1.0,104,0.9990366088631984,0.9989395534191509,1.0,104,0.9961685400295465,0.9958689000170391
neptune.,285,285,1.0,38,1.0,1.0,1.0,38,1.0,1.0,1.0,38,1.0,1.0
normal.,273,273,0.8791208791208791,34,0.9356361149110808,0.9375961482002801,0.8956043956043955,34,0.9340186547556489,0.9440065063183333,0.945054945054945,37,0.9272304562627143,0.9619903339910718
snmpgetattack.,42,42,1.0,9,0.7783783783783784,0.9917232074432807,1.0,9,0.7801857585139318,0.9917538686862233,0.4642857142857143,6,0.5700000000000001,0.6752866589792874
mailbomb.,34,34,1.0,5,1.0,1.0,1.0,5,0.9782608695652174,0.9994832039962707,1.0,5,0.9782608695652174,0.9994832039962707
guess_passwd.,25,25,1.0,10,1.0,1.0,0.8194444444444444,4,0.8991596638655461,0.904417222683251,0.875,10,0.9285714285714286,0.9330127018922193
snmpguess.,13,13,1.0,4,0.9545454545454546,0.9994997497496871,1.0,2,0.9545454545454546,0.9994997497496871,1.0,4,1.0,1.0
processtable.,10,10,1.0,4,1.0,1.0,0.8333333333333333,2,0.9,0.908248290463863,1.0,4,1.0,1.0
satan.,9,9,1.0,5,0.9285714285714286,0.9995017437726044,0.8333333333333333,2,0.9,0.908248290463863,1.0,5,0.9285714285714286,0.9995017437726044
warezmaster.,6,6,1.0,3,1.0,1.0,0.75,1,0.8333333333333333,0.8535533905932737,1.0,3,1.0,1.0
back.,6,6,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0
apache2.,3,3,1.0,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,1.0,1.0
mscan.,3,3,1.0,2,1.0,1.0,1.0,1,0.8333333333333333,0.999493670756203,1.0,2,1.0,1.0
saint.,3,3,1.0,2,1.0,1.0,1.0,1,0.8333333333333333,0.9995037219620773,1.0,2,1.0,1.0
portsweep.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
pod.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
nmap.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
ipsweep.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
xlock.,1,1,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5
